2023-09-10 19:39:58,897 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389198,"target":..."bar_absolute":29.85}]}' [2474 bytes]
2023-09-10 19:40:03,912 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389203,"target":..."bar_absolute":29.85}]}' [2468 bytes]
2023-09-10 19:40:08,899 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389208,"target":..."bar_absolute":29.85}]}' [2468 bytes]
2023-09-10 19:40:13,895 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389213,"target":..."bar_absolute":29.85}]}' [2468 bytes]
2023-09-10 19:40:18,916 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389218,"target":..."bar_absolute":29.85}]}' [2472 bytes]
2023-09-10 19:40:20,390 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:40:20,390 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 63 1a 89 9c [binary, 4 bytes]
2023-09-10 19:40:20,430 | websockets.client | DEBUG | protocol | read_frame | < PONG 63 1a 89 9c [binary, 4 bytes]
2023-09-10 19:40:20,430 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:40:24,006 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389223,"target":...bar_absolute":29.851}]}' [2474 bytes]
2023-09-10 19:40:28,906 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389228,"target":...bar_absolute":29.851}]}' [2474 bytes]
2023-09-10 19:40:33,932 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389233,"target":...bar_absolute":29.851}]}' [2474 bytes]
2023-09-10 19:40:38,928 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389238,"target":...bar_absolute":29.851}]}' [2474 bytes]
2023-09-10 19:40:43,931 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389243,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:40:48,941 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389248,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:40:50,429 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:40:50,429 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 9b 2f a8 84 [binary, 4 bytes]
2023-09-10 19:40:50,461 | websockets.client | DEBUG | protocol | read_frame | < PONG 9b 2f a8 84 [binary, 4 bytes]
2023-09-10 19:40:50,461 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-09-10 19:40:54,017 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389253,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:40:58,921 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389258,"target":...bar_absolute":29.851}]}' [2478 bytes]
2023-09-10 19:41:03,929 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389263,"target":...bar_absolute":29.851}]}' [2484 bytes]
2023-09-10 19:41:08,952 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389268,"target":...bar_absolute":29.851}]}' [2484 bytes]
2023-09-10 19:41:13,994 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389273,"target":...bar_absolute":29.851}]}' [2476 bytes]
2023-09-10 19:41:18,966 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694389278,"target":...bar_absolute":29.851}]}' [2476 bytes]
2023-09-10 19:41:20,457 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-09-10 19:41:20,457 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 86 5a 3d d1 [binary, 4 bytes]
2023-09-10 19:41:20,491 | websockets.client | DEBUG | protocol | read_frame | < PONG 86 5a 3d d1 [binary, 4 bytes]
2023-09-10 19:41:20,491 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
