2023-10-11 00:02:29,339 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:02:29,339 | websockets.client | DEBUG | protocol | write_frame_sync | > PING ba 2a a1 65 [binary, 4 bytes]
2023-10-11 00:02:29,377 | websockets.client | DEBUG | protocol | read_frame | < PONG ba 2a a1 65 [binary, 4 bytes]
2023-10-11 00:02:29,377 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:02:33,967 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996953,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:02:38,875 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996958,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:02:43,885 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996963,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:02:48,915 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996968,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:02:53,884 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996973,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:02:58,885 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996978,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:02:59,376 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:02:59,376 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 04 b3 e5 aa [binary, 4 bytes]
2023-10-11 00:02:59,414 | websockets.client | DEBUG | protocol | read_frame | < PONG 04 b3 e5 aa [binary, 4 bytes]
2023-10-11 00:02:59,414 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:03:03,980 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996983,"target":...bar_absolute":29.797}]}' [2452 bytes]
2023-10-11 00:03:08,889 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996988,"target":...bar_absolute":29.795}]}' [2454 bytes]
2023-10-11 00:03:13,889 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996993,"target":...bar_absolute":29.795}]}' [2458 bytes]
2023-10-11 00:03:18,899 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996998,"target":...bar_absolute":29.795}]}' [2458 bytes]
2023-10-11 00:03:23,909 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997003,"target":...bar_absolute":29.795}]}' [2458 bytes]
2023-10-11 00:03:28,915 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997008,"target":...bar_absolute":29.795}]}' [2466 bytes]
2023-10-11 00:03:29,417 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:03:29,417 | websockets.client | DEBUG | protocol | write_frame_sync | > PING e4 16 dc 94 [binary, 4 bytes]
2023-10-11 00:03:29,457 | websockets.client | DEBUG | protocol | read_frame | < PONG e4 16 dc 94 [binary, 4 bytes]
2023-10-11 00:03:29,457 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:03:34,021 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997013,"target":...bar_absolute":29.795}]}' [2466 bytes]
2023-10-11 00:03:38,910 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997018,"target":...bar_absolute":29.794}]}' [2466 bytes]
